1	1984
1	1754
0	174
0	2552
0	2217
0	2296
1	1281
0	2084
1	1910
0	1062
1	355
0	1533
0	1452
1	2227
0	600
0	2014
0	1906
0	1075
1	2197
1	1947
1	1232
1	1254
1	2271
1	667
0	1878
0	2715
0	1014
1	3992
1	4038
1	4054
1	4022
1	4037
0	46
0	1159
0	559
0	2239
1	4070
1	4068
1	4005
0	4046
1	4051
1	3999
0	4066
1	4067
1	4036
1	4040
1	2768
0	4058
0	4052
1	4008
1	4026
1	5048
1	3716
0	4013
0	2620
1	2591
0	2955
1	4003
1	4050
1	4020
0	4014
1	4007
0	4044
1	4035
1	4063
0	4057
1	4061
0	4042
0	4043
1	3985
1	4034
0	4069
1	4608
1	4389
1	4580
0	4550
0	3401
1	4542
0	3705
0	3689
1	4457
1	3364
1	4520
0	3376
1	3223
0	4518
1	3313
1	3295
1	1570
0	4445
0	4613
1	886
0	5022
1	676
1	1571
0	3886
1	2265
0	2567
0	2005
0	2623
1	2184
1	654
1	2119
0	2091
0	1165
1	1585
1	1582
1	1577
1	1552
1	1603
0	2173
0	4597
0	2169
0	2185
0	1224
0	1825
1	1193
1	3320
0	1217
0	1536
1	5202
0	1781
0	1861
0	2033
0	2413
0	4565
1	1148
1	1089
1	1972
0	993
1	1798
0	1282
1	1251
1	1213
1	2511
0	2099
1	2615
1	3123
0	3161
1	2645
1	2433
1	1031
1	1192
1	2956
1	1633
0	1723
1	1739
1	3909
0	3925
1	3867
0	3914
1	1828
1	806
1	2495
1	1884
0	1764
0	343
1	458
1	2067
1	2512
1	2695
0	737
1	2447
0	2519
0	2453
1	1642
1	409
0	3160
1	1874
1	2341
0	968
1	698
1	1191
0	3396
1	1641
1	1805
1	1967
0	805
1	2134
1	3201
1	2242
0	1661
1	1407
0	2039
0	2492
1	248
0	2302
0	1327
0	2118
1	2600
1	2564
1	2183
0	2238
0	927
1	849
0	1711
1	1898
1	1893
0	1320
1	1692
1	1647
1	2516
1	697
0	1994
1	1178
0	2107
0	1527
1	2266
1	1172
1	2178
0	4512
1	4606
0	1804
0	2267
1	1835
0	2079
1	2617
1	2852
0	1855
1	2054
1	3262
1	5197
1	2557
1	1504
1	2093
0	1471
1	4602
1	4564
1	2387
1	243
1	1879
1	1660
1	27
1	1649
0	5057
1	1625
0	2155
1	1788
1	1099
1	1624
1	2152
1	2166
1	1011
1	2629
1	1147
1	574
0	1072
1	2966
1	1079
0	5073
1	2601
1	2452
0	1430
1	513
1	1388
1	2529
0	482
1	1992
1	1576
1	1503
1	986
0	1442
1	1779
1	2089
1	1414
0	275
0	2312
0	621
1	180
1	1945
1	2647
0	4129
1	4148
0	4199
0	4173
1	4154
0	4156
1	4166
0	5168
1	3084
1	4158
1	4515
1	4492
0	4443
1	4506
0	495
1	2445
0	1929
1	1403
1	1656
0	1015
1	1638
0	1731
0	1449
1	1845
1	2614
0	1387
